city,index,landmark,stored,class,lead,note
Gdańsk,3,Długa Street and the Golden Gate,"54.3496766,18.6480469",UNRESOLVED,,
Gdańsk,7,Museum of the Second World War,"54.3560788,18.6599928",UNRESOLVED,,
Genoa,5,The Caruggi (Historic Centre Alleys),"44.4089412,8.9332234",UNRESOLVED,,
Gent,3,Graslei and Korenlei,"51.0547683,3.72075",UNRESOLVED,,
George Town,0,George Town UNESCO Heritage Core,"5.4170037,100.3379775",UNRESOLVED,,
Ghardaïa,0,Ksar of Ghardaïa and the Great Mosque,"32.4943741,3.64446",UNRESOLVED,,
Ghardaïa,2,Ghardaïa Market Square (Place du Marché),"32.4876964,3.672904",UNRESOLVED,,
Ghardaïa,7,The M'zab Palm Groves,"32.4943741,3.64446",UNRESOLVED,,
Ghardaïa,9,Ghardaïa Panoramic Viewpoint,"32.4943741,3.64446",UNRESOLVED,,
Gibraltar,1,Barbary Macaques at Apes' Den,"36.1322425,-5.3487311",UNRESOLVED,,
Gibraltar,5,Skywalk and Windsor Suspension Bridge,"36.1303551,-5.347626399999999",UNRESOLVED,,
Gilgit,1,Raja Bazaar (Gilgit Bazaar),"35.9231176,74.3053383",UNRESOLVED,,
Gilgit,3,Chinar Bagh,"35.9229949,74.32598279999999",UNRESOLVED,,
Gilgit,5,Jaglot Three Mountain Ranges Junction,"35.6918858,74.5990492",UNRESOLVED,,
Gilgit,9,Gilgit River Confluence Walks,"35.920191,74.308008",UNRESOLVED,,
Girona,9,Rambla de la Llibertat and Plaça de la Independència,"41.9837022,2.8239713",UNRESOLVED,,
Gisenyi,0,Lake Kivu Public Beach,"-1.6990482,29.2560996",UNRESOLVED,,
Gisenyi,1,Gisenyi Waterfront Corniche,"-1.6957111,29.2515096",UNRESOLVED,,
Gisenyi,4,Mount Nyiragongo Views,"-1.4281823,29.5559891",WD_ONLY,"Wikidata Q214696 'Mount Nyiragongo' -1.51667,29.25000",
Gisenyi,5,Imbabazi Gardens (Rosamond Carr's Mugongo),"-1.5943452,29.3864105",UNRESOLVED,,
Gisenyi,6,Pfunda Tea Estate,"-1.7004897,29.3193857",UNRESOLVED,,
Gisenyi,8,Gisenyi Central Market,"-1.6957094,29.2623926",UNRESOLVED,,
Gisenyi,9,Rubavu Genocide Memorial,,UNRESOLVED,,
Goma,1,Virunga National Park,"-0.05022099999999999,29.5142852",UNRESOLVED,,
Goma,7,Goma Cathedral Ruins (Notre-Dame ruins),"-1.658501,29.2204548",UNRESOLVED,,
Goma,8,Virunga Market and Birere District,"-1.658501,29.2204548",UNRESOLVED,,
Goma,9,Grande Barrière Border Crossing,"-1.658501,29.2204548",UNRESOLVED,,
Gondar,1,Fasilides' Castle,"12.6149147,37.4747996",UNRESOLVED,,
Gondar,4,Kuskuam Complex (Empress Mentewab's Palace),"12.6215798,37.4476938",WD_ONLY,"Wikidata Q124098361 'Mentewab's Palace' 12.60953,37.47014",
Gondar,5,Ras Gimb Palace Museum,"12.5981077,37.4505182",UNRESOLVED,,
Gondar,6,Wolleka Falasha Village,"12.6435497,37.4771592",UNRESOLVED,,
Gondar,7,Gondar Piazza,"12.6105915,37.4694142",UNRESOLVED,,
Gondar,8,Qusquam Debre Tsehay Church,"12.6225355,37.4466956",UNRESOLVED,,
Gondar,9,Ras Mikael Sehul's Palace,,UNRESOLVED,,
Göreme,5,Paşabağ (Monks Valley),"38.67726529999999,34.8556884",UNRESOLVED,,
Göreme,6,Devrent Valley (Imagination Valley),"38.6726326,34.8858166",UNRESOLVED,,
Gothenburg,1,Haga District,"57.698553,11.9563423",UNRESOLVED,,
Gothenburg,4,Götaplatsen and the Poseidon Statue,"57.6973714,11.979319",UNRESOLVED,,
Gothenburg,9,Nya Älvsborg Fortress,"57.6857785,11.8386358",WD_ONLY,"Wikidata Q372141 'Älvsborg Fortress' 57.69000,11.90694",
Granada,7,Carrera del Darro and Paseo de los Tristes,"37.1783098,-3.5928579",UNRESOLVED,,
Granada,8,Monastery of Cartuja,"37.1923158,-3.599789699999999",UNRESOLVED,,
Grenoble,2,Grenoble Old Town and Place Grenette,"45.1910671,5.7277605",UNRESOLVED,,
Grenoble,6,Saint-Laurent Archaeological Museum,"45.197623,5.7315569",UNRESOLVED,,
Grenoble,8,Parc Paul Mistral and the Perret Tower,"45.1849538,5.735422499999999",UNRESOLVED,,
Guadalajara,6,Instituto Cultural Cabañas Plaza and Historic Center Plazas,"20.6751707,-103.3473385",UNRESOLVED,,
Guangzhou,6,Shamian Island,"23.1067982,113.2447706",UNRESOLVED,,
Guarujá,9,Mirante da Campina (Campina Hill Lookout),"-23.9948234,-46.2491835",UNRESOLVED,,
Guatemala City,0,Metropolitan Cathedral,"14.6415554,-90.51210209999999",UNRESOLVED,,
Guatemala City,6,Kaminaljuyu Archaeological Site,"14.6322709,-90.5485331",UNRESOLVED,,
Guatemala City,8,Cerro del Carmen,"14.6468594,-90.5057305",UNRESOLVED,,
Guayaquil,5,Municipal Palace of Guayaquil,"-2.1891341,-79.8899031",UNRESOLVED,,
Guayaquil,7,Guayaquil Historical Park,"-2.1430351,-79.8681704",UNRESOLVED,,
Guayaquil,8,Guayaquil Skyline,"-2.1704143,-79.9050241",UNRESOLVED,,
Guilin,0,Li River (Lijiang) Cruise to Yangshuo,"24.6429,110.61246",UNRESOLVED,,
Guilin,3,"Longji Rice Terraces (Longsheng, Dragon's Backbone)","25.77043,110.13218",UNRESOLVED,,
Guilin,4,Sun and Moon Pagodas (Riyue Shuang Ta),"25.25758,110.25519",WD_ONLY,"Wikidata Q65047967 'Sun and Moon Pagodas' 25.16250,110.17250",
Guilin,5,Seven Star Park (Qixing Gongyuan),"25.268791,110.312122",UNRESOLVED,,
Guilin,7,Diecai Hill (Folded Brocade Hill),"25.28707,110.30114",UNRESOLVED,,
Guilin,8,Jingjiang Princes' Palace and Solitary Beauty Peak,"25.283041,110.298749",UNRESOLVED,,
Gustavia,0,Gustavia Harbor,"17.8964345,-62.85220099999999",UNRESOLVED,,
Gustavia,1,Shell Beach (Plage de Shell Beach),"17.8927854,-62.8488004",UNRESOLVED,,
Gustavia,4,Wall House Museum (Territorial Museum),"17.8983007,-62.8521179",UNRESOLVED,,
Gustavia,6,Notre-Dame de l'Assomption Catholic Church,"17.9054109,-62.8237278",UNRESOLVED,,
Gyeongju,1,Seokguram Grotto,"35.7951981,129.3503599",UNRESOLVED,,
Gyeongju,3,Cheomseongdae Observatory,"35.8347306,129.2190014",UNRESOLVED,,
Gyeongju,8,Namsan Mountain,"35.768056,129.225556",UNRESOLVED,,
Hạ Long,2,Ti Top Island,"20.8590207,107.0809085",UNRESOLVED,,
Hạ Long,3,Thien Cung Cave (Heavenly Palace Cave),"20.9126814,107.0172114",UNRESOLVED,,
Hạ Long,5,Sun World Ha Long and Queen Cable Car,"20.955588,107.0493252",UNRESOLVED,,
Hạ Long,6,Cua Van Floating Village,"20.9417785,107.1277751",UNRESOLVED,,
Hakodate,0,Mount Hakodate Night View,"41.7592941,140.703917",UNRESOLVED,,
Hakodate,4,Motomachi District and Hachiman-zaka Slope,"41.763042,140.71205",UNRESOLVED,,
Hamadan,3,Hegmataneh Hill (Ancient Ecbatana),"34.8084476,48.5163492",UNRESOLVED,,
Hamadan,8,Alvand Mountain,"34.763498,48.4024398",UNRESOLVED,,
Hamburg,6,Binnenalster & Alster Lakes,"53.5488282,9.987170299999999",UNRESOLVED,,
Hamburg,9,Hamburg Cruise Terminal & Port,"53.5294335,9.9613836",UNRESOLVED,,
Hamilton,7,Perot Post Office and Bermuda Historical Society Museum,"32.2929655,-64.7865602",UNRESOLVED,,
Hangzhou,7,Hefang Street,"30.24012,120.17249",UNRESOLVED,,
Hanoi,7,Hanoi Old Quarter (36 Streets),"21.0352664,105.8500124",UNRESOLVED,,
Harar,1,Hyena Feeding at the City Gates,"9.3046809,42.1469765",UNRESOLVED,,
Harar,2,Arthur Rimbaud House (Rimbaud Cultural Center),"9.309916,42.1379149",UNRESOLVED,,
Harar,3,Grand Jami Mosque (Al-Jami Mosque),"9.3109748,42.1387744",UNRESOLVED,,
Harar,4,Shoa Gate (Asmaddin Beri),"9.3066095,42.1360694",UNRESOLVED,,
Harar,5,Gidir Magala Market,"9.3091828,42.138049",UNRESOLVED,,
Harar,6,Sherif Harar City Museum,"9.3124367,42.121843",UNRESOLVED,,
Harar,7,Harari Cultural House (Traditional Gey Gar),"9.310566,42.140047",UNRESOLVED,,
Harar,8,Medhane Alem Cathedral,"9.3106447,42.1368974",UNRESOLVED,,
Harbin,3,Sun Island Scenic Area,"45.796022,126.59118",UNRESOLVED,,
Harbin,4,Songhua River and Stalin Park,"46.014938,127.590904",UNRESOLVED,,
Harbin,5,Flood Control Monument,"45.7567307,126.6424173",UNRESOLVED,,
Harbin,8,Volga Manor,"45.67054599999999,126.89939",UNRESOLVED,,
Harbin,9,Harbin Confucius Temple,"45.78125499999999,126.612443",UNRESOLVED,,
Havana,9,Fortaleza de San Carlos de la Cabaña,"23.133865,-82.3585654",UNRESOLVED,,
Hebron,0,Ibrahimi Mosque / Cave of the Patriarchs (Al-Haram al-Ibrahimi),"31.5247051,35.110719",UNRESOLVED,,
Hebron,1,Hebron Old City (UNESCO),"32.232209,34.945701",UNRESOLVED,"OSM 'UNESCO' 31.52063,34.43593","only a bracket-word OSM hit, far out"
Hebron,2,Old City Souq (Casbah Market),,UNRESOLVED,,
Hebron,3,Hebron Glass and Ceramics Factories,"31.557286,35.100126",UNRESOLVED,,
Hebron,6,Ramat al-Khalil (Ancient Mamre),"31.5304303,35.0879406",WD_ONLY,"Wikidata Q168225 'Al Khalil' 31.53500,35.09861",
Hebron,9,"Nabi Yunis Shrine, Halhul",,UNRESOLVED,,
Heidelberg,5,Königstuhl Summit and Funicular,"49.4037,8.7277351",UNRESOLVED,,
Heidelberg,6,Heidelberg University and Old Assembly Hall (Alte Aula),"49.41066,8.706554299999999",UNRESOLVED,"OSM 'Alte Aula' 48.74223,9.30462","only a bracket-word OSM hit, far out"
Heidelberg,7,Student Jail (Studentenkarzer),"49.4494166,8.4962714",UNRESOLVED,,
Heidelberg,8,Marktplatz and Kornmarkt,"49.4119863,8.7117016",UNRESOLVED,,
Heidelberg,9,Thingstätte and Heiligenberg,"49.4238453,8.706536999999999",UNRESOLVED,,
Helsinki,0,Suomenlinna Sea Fortress,"60.14539999999999,24.9881401",UNRESOLVED,,
Heraklion,3,Venetian Walls and Tomb of Kazantzakis,"35.3386746,25.1421291",UNRESOLVED,,
Heraklion,6,Venetian Loggia,"35.3398299,25.1340017",UNRESOLVED,,
Heraklion,9,Central Market on 1866 Street,"35.3384076,25.1331402",UNRESOLVED,,
Himeji,3,Otemae-dori Avenue,"34.8316474,134.6916006",UNRESOLVED,,
Hirosaki,1,Saisho-in Five-Storied Pagoda,"40.5963366,140.4686587",UNRESOLVED,,
Hirosaki,8,Mount Iwaki and Iwakiyama Shrine,"40.6220863,140.3403973",UNRESOLVED,,
Hobart,4,Constitution Dock and Sullivans Cove Waterfront,"-42.8831003,147.3334465",UNRESOLVED,,
Hoi An,2,Fujian Assembly Hall (Phuc Kien),"15.8774847,108.3306281",UNRESOLVED,,
Hoi An,4,Thu Bon River Lantern Boats and Night Market,"15.875503,108.3262087",UNRESOLVED,,
Hoi An,5,Hoi An Central Market,"15.875027,108.326172",UNRESOLVED,,
Hoi An,6,An Bang Beach,"15.9136072,108.3406489",UNRESOLVED,,
Hoi An,8,Tra Que Vegetable Village,"15.9023568,108.337635",UNRESOLVED,,
Hong Kong,3,Ngong Ping 360 / Tian Tan Buddha,"22.2539847,113.904984",UNRESOLVED,,
Honiara,6,Iron Bottom Sound,"-9.25,160",UNRESOLVED,,
Honiara,8,Betikama War Relics Museum,"-9.4306698,159.9526758",UNRESOLVED,,
Honiara,9,"Parliament House, Honiara","-9.4341736,159.9558994",UNRESOLVED,,
Honolulu,9,Bishop Museum,"21.3330841,-157.8707112",UNRESOLVED,,
Houmt El Souk,1,Houmt Souk Central Market (the souks),"33.8759693,10.8572832",UNRESOLVED,,
Houmt El Souk,6,Guellala Museum (Djerba Heritage Museum),"33.7286958,10.8557577",WD_ONLY,"Wikidata Q54888224 'Guellala Museum' 33.73252,10.86563",
Houmt El Souk,7,Djerba Explore Park and Lalla Hadria Museum,"33.8759693,10.8572832",UNRESOLVED,,
Houmt El Souk,8,Sidi Mahrez Beach (Plage Sidi Mahres),"33.8614128,10.9785433",UNRESOLVED,,
Hua Hin,2,Wat Huay Mongkol,"12.5525227,99.8243687",UNRESOLVED,,
Hua Hin,3,Khao Takiab (Chopstick Hill),"12.510005,99.9775969",UNRESOLVED,,
Hua Hin,4,Maruekhathaiyawan Palace (Palace of Love and Hope),"12.6982924,99.96210819999999",UNRESOLVED,,
Hua Hin,9,Pala-U Waterfall,"12.5381133,99.4635321",UNRESOLVED,,
Hualien City,1,Qixingtan Beach,"24.0430498,121.6224926",UNRESOLVED,,
Hualien City,4,Swallow Grotto (Yanzikou),"24.1726824,121.5668667",UNRESOLVED,,
Hualien City,9,Ji'an Qingxiu Temple (Qingxiu Yuan),"23.9736882,121.5647145",UNRESOLVED,,
Huangshan,1,Hongcun Ancient Village,"29.99876,117.98334",UNRESOLVED,,
Huangshan,2,Xidi Ancient Village,"29.895868,117.993411",UNRESOLVED,,
Huangshan,3,West Sea Grand Canyon (Xihai Great Canyon),"29.7151699,118.33866",UNRESOLVED,,
Huangshan,4,Greeting-Guests Pine (Yingkesong),"30.1245907,118.1703509",UNRESOLVED,,
Huangshan,5,Tunxi Old Street (Tunxi Laojie),"29.70842,118.30732",UNRESOLVED,,
Huangshan,6,Bright Summit (Guangming Peak),"30.1346774,118.1640111",UNRESOLVED,,
Huangshan,7,Tangyue Memorial Archways,"29.86657,118.36959",UNRESOLVED,,
Huangshan,8,Huizhou Ancient City (Shexian),"29.8669929,118.4349294",UNRESOLVED,,
Hurghada,2,Hurghada Marina,"27.22563630089617,33.84217537987125",UNRESOLVED,,
Hurghada,3,El Dahar Old Town and Bazaar,"27.2518573,33.8178499",UNRESOLVED,,
Hurghada,5,Sand City Hurghada,"27.099592,33.8230867",UNRESOLVED,,
Hurghada,9,Eastern Desert Bedouin villages and dunes,,UNRESOLVED,,
Ibadan,5,University of Ibadan Zoological Garden,"7.4428749,3.8947627",UNRESOLVED,,
Ibadan,6,Dugbe Market,"7.3901596,3.881754599999999",UNRESOLVED,,
Ibadan,7,Oyo State Museum of Natural History,"7.3775355,3.9470396",UNRESOLVED,,
Ibadan,8,Oja'ba (Old Ibadan Market Quarter),"7.3742579,3.8951313",UNRESOLVED,,
Ibadan,9,Ibadan's Seven Hills Viewpoints,"7.3775355,3.9470396",UNRESOLVED,,
Ibiza,2,Café del Mar Sunset Strip,"38.9804098,1.296303",UNRESOLVED,,
Ibiza,7,Ibiza Town Harbour,"38.9106115,1.4376852",UNRESOLVED,,
Ica,5,Bodega Tacama,"-14.0013248,-75.71729069999999",UNRESOLVED,,
Ica,6,Bodega El Catador,"-14.0089836,-75.7541268",UNRESOLVED,,
Ica,9,Paracas National Reserve and Ballestas Islands,"-13.9153365,-76.247912",UNRESOLVED,,
Inhambane,3,Old Mosque of Inhambane,"-23.8790203,35.4025048",UNRESOLVED,,
Inhambane,4,Inhambane Railway Station and jetty (Ponte-cais),"-23.8790203,35.4025048",UNRESOLVED,,
Inhambane,5,Provincial Museum of Inhambane,"-23.8582893,35.3476374",UNRESOLVED,,
Inhambane,6,Dhow crossing to Maxixe,"-23.8606069,35.3468034",UNRESOLVED,,
Inhambane,7,Guinjata Bay and Jangamo beaches,"-24.1152811,35.3123257",UNRESOLVED,,
